alpha,chi,mass_msun,status,q_ep,q_low,q_high,formal_relative_width,physical_relative_width,effect_at_ep,sigma_at_ep,formation_status,q_grid,effect_grid,sigma_grid,survival_nh_grid,survival_factorized_grid,sigma_numerical,sigma_spectrum,sigma_tidal_matrix,sigma_chirp,sigma_two_level,sigma_total,sigma_worst_component
0.05,0.9,10.0,effect_below_threshold,0.6481911252949748,,,0.0,0.0,0.0,1.4142135623730951,formation_veto,[],[],[],[],[],1.1102230246251565e-15,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.05,0.99,10.0,effect_below_threshold,0.5381052997652165,,,0.0,0.0,1.8386072070937544e-11,1.4142135623730951,formation_veto,[],[],[],[],[],2.3314683517128287e-15,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.1,0.9,10.0,effect_below_threshold,0.8584865046004256,,,0.0,0.0,0.0,1.4142135623730951,formation_veto,[],[],[],[],[],4.440892098500626e-16,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.1,0.99,10.0,effect_below_threshold,0.6373671479121583,,,0.0,0.0,4.190878238450327e-11,1.4142135623730951,formation_veto,[],[],[],[],[],1.2212453270876722e-15,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.15,0.99,10.0,effect_below_threshold,0.834320742748373,,,0.0,0.0,0.0,1.4142135623730951,formation_veto,[],[],[],[],[],6.683542608243442e-14,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.175,0.99,10.0,effect_below_threshold,0.9895905213066757,,,0.0,0.0,1.3839202562136639e-15,1.4142135623730951,formation_veto,[],[],[],[],[],1.220135104063047e-13,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.19,0.999,10.0,effect_below_threshold,0.9643654507995599,,,0.0,0.0,0.0,1.4142135623730951,formation_veto,[],[],[],[],[],4.227729277772596e-13,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.19481448947286337,0.999,10.0,effect_below_threshold,0.995898939920129,,,0.0,0.0,0.0,1.4142135623730951,formation_veto,[],[],[],[],[],8.79296635503124e-14,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.18928720334405796,0.999,10.0,effect_below_threshold,0.9598461027141701,,,0.0,0.0,7.758690786801373e-13,1.4142135623730951,formation_veto,[],[],[],[],[],1.3178347302300608e-13,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.18391673764494623,0.999,10.0,effect_below_threshold,0.9269724982259652,,,0.0,0.0,1.8508110249862975e-12,1.4142135623730951,formation_veto,[],[],[],[],[],4.692912725090537e-13,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.17869864305870312,0.999,10.0,effect_below_threshold,0.8969231365891006,,,0.0,0.0,0.0,1.4142135623730951,formation_veto,[],[],[],[],[],8.215650382226158e-15,1.0,1e-10,1e-10,1.0,1.4142135623730951,spectrum
0.17869864305870312,0.9940055555555556,10.0,effect_below_threshold,0.9725562123233787,,,0.0,0.0,4.5898568405734947e-10,1.4142135623730951,formation_veto,[],[],[],[],[],8.737455203799982e-14,1.0,4.58691546708793e-10,4.5898568405734947e-10,1.0,1.4142135623730951,spectrum
