alpha,initial,final,radius_M,theta,connection_abs,divergence_abs,residual
0.1,21+1,21-1,3.923263697990465,0.7,9.404393209152584e-07,9.404393208307705e-07,9.207139195758126e-11
0.1,21+1,21-1,5.923263697990465,1.0,7.222253996613523e-06,7.222253996994783e-06,6.674144624633272e-11
0.1,21+1,21-1,8.923263697990466,1.3,3.0829179336135276e-05,3.0829179333945215e-05,7.133717237240229e-11
0.1,21+1,21-1,11.923263697990466,1.8,8.207196396108284e-05,8.207196396540408e-05,6.199313422843416e-11
0.25,32+2,30+0,3.8831391096006103,0.7,1.3280059644109006e-06,1.3280059643970656e-06,3.971179739105642e-11
0.25,32+2,30+0,5.88313910960061,1.0,2.169177535517665e-05,2.1691775355583845e-05,2.5801096732259844e-11
0.25,32+2,30+0,8.88313910960061,1.3,0.0001666321207279171,0.00016663212072641487,3.5105424138307756e-11
0.25,32+2,30+0,11.88313910960061,1.8,0.0006164902526386603,0.0006164902526278708,2.0887803462421085e-11
0.45,43+3,41+1,3.83613598975719,0.7,1.4282113929611183e-06,1.428211392917243e-06,3.338358067728963e-11
0.45,43+3,41+1,5.8361359897571905,1.0,4.91156125191591e-05,4.9115612516506814e-05,5.714451425009031e-11
0.45,43+3,41+1,8.83613598975719,1.3,0.0006421238021944475,0.0006421238021385548,8.705293943459907e-11
0.45,43+3,41+1,11.83613598975719,1.8,0.0029711255541179176,0.00297112555408547,2.7476594783114e-11
